track__album__name,track__album__release_date,track__duration_ms,track__name
Don't Start Now,31-10-2019,183290,Don't Start Now
Mood (feat. iann dior),24-07-2020,140525,Mood (feat. iann dior)
Positions,30-10-2020,172324,positions
Breaking Me,19-12-2019,166793,Breaking Me
Blueberry Faygo,07-02-2020,162546,Blueberry Faygo
Ride It,26-07-2019,157605,Ride It
Lonely,24-01-2020,190955,Lonely
BLAME IT ON BABY,17-04-2020,181733,ROCKSTAR (feat. Roddy Ricch)
Please Excuse Me For Being Antisocial,06-12-2019,196652,The Box
Future Nostalgia,27-03-2020,193829,Physical
We Love You Tecca,30-08-2019,131240,Ransom
Hollywood's Bleeding,06-09-2019,149546,Wow.
Roses (Imanbek Remix),09-10-2019,176840,Roses - Imanbek Remix
TKN (feat. Travis Scott),28-05-2020,129370,TKN (feat. Travis Scott)
Elyanna,07-02-2020,179988,Ana Lahale
Head & Heart (feat. MNEK),03-07-2020,166028,Head & Heart (feat. MNEK)
Legends Never Die,10-07-2020,205484,Come & Go (with Marshmello)
Levitating (feat. DaBaby),01-10-2020,203064,Levitating (feat. DaBaby)
High On Life (feat. Bonn),29-07-2018,230761,High On Life (feat. Bonn)
Why Do You Lie To Me (feat. Lil Baby),28-08-2020,171290,Why Do You Lie To Me (feat. Lil Baby)
"Lemonade (feat. Gunna, Don Toliver & NAV)",14-08-2020,195428,Lemonade
Evolve,23-06-2017,204346,Believer
Paradise,30-10-2020,167903,Paradise (feat. Dermot Kennedy)
JACKBOYS,27-12-2019,157712,OUT WEST (feat. Young Thug)
Too Much (feat. Usher),23-10-2020,165704,Too Much (feat. Usher)
ASCEND (Remixes),15-05-2020,247384,Good Things Fall Apart (with Jon Bellion) [Tiësto's Big Room Remix]
Prisoner (feat. Dua Lipa),20-11-2020,169333,Prisoner (feat. Dua Lipa)
Higher Ground (feat. John Martin),14-05-2020,206279,Higher Ground (feat. John Martin)
More Than You Know,28-07-2017,203000,More Than You Know
Pretty Please,04-09-2020,145792,Pretty Please
Goosebumps,12-06-2020,163208,Goosebumps
Wildboy,31-05-2019,120133,Envy Me
MEGATRON,21-06-2019,190746,MEGATRON
Savage Remix (feat. Beyoncé),29-04-2020,242000,Savage Remix (feat. Beyoncé)
